,每次检验编号,逐秒车速,加速度,逐秒CO浓度,逐秒NO浓度,逐秒HC浓度,vsp,vsp_bin
0,1911140092,8.6,-2.3,0.03,113,8,-20.43,-21
1,1911140092,10.9,-1.6,0.04,89,8,-17.35,-18
2,1911140092,12.5,-2.5,0.04,98,8,-32.14,-21
3,1911140092,15.0,-3.6,0.03,115,8,-56.4,-21
4,1911140092,18.6,-4.4,0.03,110,8,-85.63,-21
5,1911140092,23.0,-3.1,0.04,104,8,-71.72,-21
6,1911140092,26.1,-1.8,0.04,101,8,-42.86,-21
7,1911140092,27.9,-2.6,0.03,101,8,-69.55,-21
8,1911140092,30.5,-1.3,0.04,101,8,-31.02,-21
9,1911140092,31.8,-0.2,0.04,112,8,6.91,7
10,1911140092,32.0,0.1,0.04,118,8,17.64,18
11,1911140092,31.9,0.1,0.04,106,8,17.52,18
12,1911140092,31.8,0.1,0.04,71,8,17.41,18
13,1911140092,31.7,0.1,0.04,65,8,17.29,18
14,1911140092,31.6,0.2,0.04,55,8,20.65,21
15,1911140092,31.4,0.1,0.03,45,8,16.95,17
16,1911140092,31.3,0.1,0.04,38,8,16.84,17
17,1911140092,31.2,0.2,0.02,32,8,20.15,21
18,1911140092,31.0,0.1,0.01,29,8,16.5,17
19,1911140092,30.9,0.0,0.01,33,8,12.99,13
20,1911140092,30.9,0.0,0.01,40,7,12.99,13
21,1911140092,30.9,-0.2,0.01,59,7,6.19,7
22,1911140092,31.1,-0.2,0.01,41,7,6.35,7
23,1911140092,31.3,-0.4,0.04,28,7,-0.38,-1
24,1911140092,31.7,-0.4,0.04,26,7,-0.14,-1
25,1911140092,32.1,-0.4,0.04,25,7,0.1,1
26,1911140092,32.5,-0.1,0.04,25,7,11.08,12
27,1911140092,32.6,1.0,0.04,21,7,50.63,21
28,1911140092,31.6,0.8,0.04,16,7,41.51,21
29,1911140092,30.8,-0.3,0.04,6,7,2.73,3
30,1911140092,31.1,-0.8,0.04,5,7,-14.18,-15
31,1911140092,31.9,0.3,0.04,10,7,24.54,21
32,1911140092,31.6,1.9,0.04,9,7,79.74,21
33,1911140092,29.7,2.8,0.04,3,7,103.31,21
34,1911140092,26.9,3.0,0.04,12,7,98.2,21
35,1911140092,23.9,2.9,0.04,13,8,83.52,21
36,1911140092,21.0,3.7,0.03,10,8,91.04,21
37,1911140092,17.3,2.4,0.04,14,8,49.52,21
38,1911140092,14.9,0.1,0.04,18,8,4.6,5
39,1911140092,14.8,2.2,0.04,17,8,38.75,21
40,1911140092,12.6,2.8,0.03,18,9,41.08,21
41,1911140092,9.8,3.0,0.03,23,9,33.92,21
42,1911140092,6.8,4.1,0.04,25,9,31.66,21
43,1911140092,2.7,2.2,0.01,25,9,6.9,7
44,1911140092,0.5,0.5,0.01,26,10,0.34,1
45,1911140092,0.0,0.0,0.01,24,10,0.0,0
46,1911140092,0.0,0.0,0.01,25,10,0.0,0
47,1911140092,0.0,0.0,0.01,25,10,0.0,0
48,1911140092,0.0,0.0,0.01,21,10,0.0,0
49,1911140092,0.0,0.0,0.01,13,10,0.0,0
50,1911140092,0.0,0.0,0.02,3,10,0.0,0
51,1911140092,0.0,0.0,0.02,22,10,0.0,0
52,1911140092,0.0,0.0,0.02,31,10,0.0,0
53,1911140092,0.0,0.0,0.03,33,10,0.0,0
54,1911140092,0.0,0.0,0.04,33,10,0.0,0
55,1911140092,0.0,0.0,0.05,29,11,0.0,0
56,1911140092,0.0,0.0,0.05,31,11,0.0,0
57,1911140092,0.0,0.0,0.08,34,11,0.0,0
